Schlüssel,Name,Bezirk,PP Fläche in %,Grünanlagenflächen in %,Spielplatzflächen in %
1011303,Alexanderplatzviertel,Mitte,2.5,9.0,0.4
4030620,Alt-Lietzow,Charlottenburg-Wilmersdorf,3.6,7.2,0.4
4030725,Amtsgerichtsplatz,Charlottenburg-Wilmersdorf,5.4,0.4,0.6
2040701,Andreasviertel,Friedrichshain-Kreuzberg,2.6,4.8,1.7
3061434,Anton-Saefkow-Park,Pankow,3.5,11.8,2.3
1011402,Arkonaplatz,Mitte,5.0,7.5,1.8
2010101,Askanischer Platz,Friedrichshain-Kreuzberg,2.3,10.0,2.9
7010103,Barbarossaplatz,Tempelhof-Schöneberg,5.1,10.0,2.5
2040501,Barnimkiez,Friedrichshain-Kreuzberg,1.3,48.7,3.8
7020201,Bayerischer Platz,Tempelhof-Schöneberg,5.3,1.2,1.5
1022102,Beusselkiez,Mitte,4.1,0.0,3.0
3071639,Bötzowstraße,Pankow,5.9,6.2,2.2
8010302,Bouchéstraße,Neukölln,5.5,0.0,0.0
2050802,Boxhagener Platz,Friedrichshain-Kreuzberg,4.7,1.9,1.4
4030931,Breitscheidplatz,Charlottenburg-Wilmersdorf,2.9,0.0,0.0
1033201,Brunnenstraße,Mitte,3.4,0.0,1.0
2020205,Chamissokiez,Friedrichshain-Kreuzberg,3.0,0.3,0.7
1011301,Charitéviertel,Mitte,1.6,4.7,0.5
3061435,Conrad-Blenkle-Straße,Pankow,2.2,1.4,0.7
7010104,Dennewitzplatz,Tempelhof-Schöneberg,3.4,8.7,1.5
8010303,Donaustraße,Neukölln,4.0,0.0,1.4
4030726,Droysenstraße,Charlottenburg-Wilmersdorf,4.6,2.5,1.7
4051445,Eisenzahnstraße,Charlottenburg-Wilmersdorf,3.7,0.1,0.2
1022106,Elberfelder Straße,Mitte,4.2,4.6,0.8
3061441,Eldenaer Straße,Pankow,2.8,10.5,0.9
9010101,Elsenstraße,Treptow-Köpenick,3.2,10.0,0.7
1022104,Emdener Straße,Mitte,4.5,2.1,2.3
3061131,Falkplatz,Pankow,3.3,20.7,1.5
8010211,Flughafenstraße,Neukölln,4.0,0.3,1.1
2040502,Friedenstraße,Friedrichshain-Kreuzberg,3.2,4.3,0.5
4030930,George-Grosz-Platz,Charlottenburg-Wilmersdorf,0.5,0.0,0.7
8010407,Gewerbegebiet Ederstraße,Neukölln,2.0,0.0,0.0
2020201,Gleisdreieck/Entwicklungsgebiet,Friedrichshain-Kreuzberg,0.4,37.6,0.4
2020206,Graefekiez,Friedrichshain-Kreuzberg,3.8,3.5,1.0
3061429,Greifswalder Straße,Pankow,4.2,11.4,2.6
1011102,Großer Tiergarten,Mitte,0.4,72.0,0.4
4031032,Halensee,Charlottenburg-Wilmersdorf,3.2,1.1,0.9
1022207,Hansaviertel,Mitte,2.9,11.4,0.3
8010115,Hasenheide,Neukölln,0.2,32.9,1.5
2050601,Hausburgviertel,Friedrichshain-Kreuzberg,7.2,0.3,0.8
1022202,Heidestraße,Mitte,0.3,5.7,1.0
1011306,Heine-Viertel Ost,Mitte,2.9,7.8,0.4
1011305,Heine-Viertel West,Mitte,2.5,11.6,1.4
3061332,Helmholtzplatz,Pankow,5.6,2.5,2.1
8010405,Hertzbergplatz,Neukölln,4.8,5.1,4.6
1033202,Humboldthain Süd,Mitte,2.8,25.9,1.1
1022101,Huttenkiez,Mitte,2.0,1.8,1.2
1011401,Invalidenstraße,Mitte,2.9,5.1,2.4
7020203,Kaiser-Wilhelm-Platz,Tempelhof-Schöneberg,4.0,3.1,3.1
4030827,Karl-August-Platz,Charlottenburg-Wilmersdorf,3.1,2.2,1.0
1011304,Karl-Marx-Allee,Mitte,3.0,4.8,3.3
4030416,Klausenerplatz,Charlottenburg-Wilmersdorf,3.1,2.8,1.1
3071537,Kollwitzplatz,Pankow,4.8,2.6,1.9
8010213,Körnerpark,Neukölln,4.6,9.5,1.7
1011104,Körnerstraße,Mitte,2.6,5.8,2.3
2030302,Lausitzer Platz,Friedrichshain-Kreuzberg,3.3,2.0,1.2
1011204,Leipziger Straße,Mitte,3.5,2.3,0.7
4030724,Lietzensee,Charlottenburg-Wilmersdorf,2.8,15.9,1.4
1022203,Lübecker Straße,Mitte,2.5,0.0,0.3
1022206,Lüneburger Straße,Mitte,1.7,13.6,0.0
1011103,Lützowstraße,Mitte,2.1,3.8,1.2
2010102,Mehringplatz,Friedrichshain-Kreuzberg,1.6,4.0,1.2
2010103,Moritzplatz,Friedrichshain-Kreuzberg,3.3,4.9,0.6
7040401,Neu-Tempelhof,Tempelhof-Schöneberg,1.2,49.5,0.4
7010102,Nollendorfplatz,Tempelhof-Schöneberg,3.8,0.6,1.8
1011105,Nördlicher Landwehrkanal,Mitte,1.4,5.5,0.1
1011302,Oranienburger Straße,Mitte,2.9,5.8,1.3
2030301,Oranienplatz,Friedrichshain-Kreuzberg,3.8,14.9,2.4
2020202,Rathaus Yorckstraße,Friedrichshain-Kreuzberg,2.6,0.9,0.4
2030401,Reichenberger Straße,Friedrichshain-Kreuzberg,2.8,15.3,2.4
8010301,Reuterkiez,Neukölln,5.4,1.8,1.6
2040503,Richard-Sorge-Viertel,Friedrichshain-Kreuzberg,4.5,8.8,1.2
8010404,Rixdorf,Neukölln,4.5,1.3,2.1
8010212,Rollberg,Neukölln,4.1,7.2,3.8
2050602,Samariterviertel,Friedrichshain-Kreuzberg,4.5,3.5,2.3
8010117,Schillerpromenade,Neukölln,6.7,2.0,2.2
4030417,Schloßstraße,Charlottenburg-Wilmersdorf,3.5,4.0,0.8
7020204,Schöneberger Insel,Tempelhof-Schöneberg,1.6,5.0,1.4
1022201,Stephankiez,Mitte,3.4,12.1,1.0
2050804,Stralauer Halbinsel,Friedrichshain-Kreuzberg,0.4,7.3,0.7
2050803,Stralauer Kiez,Friedrichshain-Kreuzberg,1.7,1.2,0.3
1011101,Stülerstraße,Mitte,3.3,0.0,0.0
3071536,Teutoburger Platz,Pankow,3.4,1.0,2.1
3071633,Thälmannpark,Pankow,2.4,30.3,2.1
1022204,Thomasiusstraße,Mitte,3.1,9.8,2.6
2050801,Traveplatz,Friedrichshain-Kreuzberg,4.9,1.9,1.1
8010406,Treptower Straße Nord,Neukölln,3.3,0.1,3.1
1011202,Unter den Linden Nord,Mitte,1.8,5.1,0.0
1011203,Unter den Linden Süd,Mitte,2.8,0.9,0.0
2020204,Urbanstraße,Friedrichshain-Kreuzberg,3.4,4.9,0.5
2020203,Viktoriapark,Friedrichshain-Kreuzberg,3.1,16.8,1.7
7020202,Volkspark (Rudolf-Wilde-Park),Tempelhof-Schöneberg,4.3,10.1,0.0
2010104,Wassertorplatz,Friedrichshain-Kreuzberg,3.0,16.7,0.8
2040702,Weberwiese,Friedrichshain-Kreuzberg,4.0,3.8,2.6
1022103,Westhafen,Mitte,0.3,1.5,0.1
1011201,Wilhelmstraße,Mitte,1.9,0.0,0.0
3071638,Winsstraße,Pankow,4.4,3.4,2.6
8010116,Wissmannstraße,Neukölln,2.8,9.2,1.7
7010101,Wittenbergplatz/Viktoria-Luise-Platz,Tempelhof-Schöneberg,3.4,1.1,0.3
2030402,Wrangelkiez,Friedrichshain-Kreuzberg,3.6,2.0,3.1
2040703,Wriezener Bahnhof/Entwicklungsgebiet,Friedrichshain-Kreuzberg,1.1,7.1,0.1
1022205,Zillesiedlung,Mitte,3.4,1.9,0.0
1022105,Zwinglistraße,Mitte,2.3,6.5,6.1
